id,text,author
id12176,And then he devoutly loved Perdita; the bend of her head her glossy ringlets the turn of her form were to him subjects of deep tenderness and admiration; as she spoke her melodious tones entered his soul; he soon softened towards her comforting and caressing her and endeavouring to cheat himself into the belief that he had never wronged her.,MWS
id24053,With riches merely surpassing those of any citizen it would have been easy to suppose him engaging to supreme excess in the fashionable extravagances of his time or busying himself with political intrigue or aiming at ministerial power or purchasing increase of nobility or collecting large museums of virtu or playing the munificent patron of letters of science of art or endowing and bestowing his name upon extensive institutions of charity.,EAP
id15452,It had been used apparently in remote feudal times for the worst purposes of a donjon keep and in later days as a place of deposit for powder or some other highly combustible substance as a portion of its floor and the whole interior of a long archway through which we reached it were carefully sheathed with copper.,EAP
id24766,The examination the presence of the magistrate and witnesses passed like a dream from my memory when I saw the lifeless form of Henry Clerval stretched before me.,MWS
id26213,A marked sensation immediately ensued.,EAP
id15183,There were also some curious muddy rat tracks leading out of a fresh hole and back into it again.,HPL
id09332,"""The pleasant showers and genial warmth of spring greatly altered the aspect of the earth.",MWS
id00972,Then on Wednesday the great shock came.,HPL
id22177,The neighbours grumblingly acquiesced in the inertia but the foetor none the less formed an additional count against the place.,HPL
id03951,You say to me that there is nothing in the swamp or near it which could form the setting of that frightful episode.,HPL
id07162,"If you will comply with my conditions I will leave them and you at peace; but if you refuse I will glut the maw of death until it be satiated with the blood of your remaining friends.""",MWS
id05558,The trees were dark in color and mournful in form and attitude wreathing themselves into sad solemn and spectral shapes that conveyed ideas of mortal sorrow and untimely death.,EAP
id17844,When the machinery is wound up the movements continue about an hour during which time about fifty questions may be answered.,EAP
id05987,That name has so often been degraded that it will not convey the idea of all that he was.,MWS
id02749,In history of these regions I met with a ray from the Future.,EAP
id02251,"""Name it my beloved my Eugenie my own name it but alas it is already yielded ere named.""",EAP
id23567,He was the devil incarnate Birch and I believe his eye for an eye fury could beat old Father Death himself.,HPL
id22138,"""We are possibly not giving this matter a fair trial"" he said.",EAP
