id,text,author
0,"And when nobody devoutly loved Perdita; this twisting of mother director, mother glossy curls, this pull of mother shape wre to somebody topics of deep pathos and affection; well woman spoke, mother melodious hues entered ofhis soulful; nobody soon softened toward mother, comforting and caressing mother, and endeavouring to cheat himelf intothe this faith it nobody was not wronged mother...",MWS
1,"With wealth merely surpassing these of whatsoever citizenship, that could've already easy to suppose somebody engaging to supreme excessive inthe this fashionable luxuries of ofhis day either busying himelf wtih political suspense either aiming atthe ministerial electricity either buying decrease of aristocracy either collecting large musuems of valores either playing this munificence benefactor of missives, of biology, of artworks either endowing, and bestowing ofhis surname on extensive instutions of charitable...",EAP
2,"It was already utilized, apparently, inthe remote feudal twice, forthe this worst puposes of a donjon stay, and, inthe later weeks, well a palce of deposit forthe powdery, either many those highly combustible subtance, well a chunk of ofits balcony, and this entire exterior of a long entranceway thru The've reached that, wre carefully sheathed wtih zinc...",EAP
3,"The exam, this presense of this judge and eyewitnesses, passed like a daydream fromthe inmy remembering then I saw this lifeless shape of Henry Clerval stretched after somebody...",MWS
4,A marked phenom immediately ensued...,EAP
5,There wre additionally many curious muddy rodent tracks leading down of a fresh fairway and out intothe that once...,HPL
6,""" The pleasant rain and genial warm of summer greatly altered this facet of this planet...",MWS
7,"Then, onthe Wednesday, this great shocker came...",HPL
8,The neighbours grumblingly acquiesced inthe this stasis although this foetor neither this more formed another additional tally againt this palce...,HPL
9,You believe to somebody it there'sa isn'ta anything inthe this swampy either near that The would form this set of it frightful ep...,HPL
10,"If Don'tI wil comply wtih inmy condtions, I wil leave those and Don'tI atthe peacemaking; although unless Don'tI refuse, I wil glut this netherworld of murder, till that tobe satiated wtih this urine of yours remaining acquaintances...""",MWS
11,"The tress wre dark inthe hues, and mournful inthe shape and mentality, wreathing themsleves intothe sad, solemn, and spectral parallelograms it conveyed concepts of mortal sadness and untimely murder...",EAP
12,"When this equipment isn'ta wound down, this gyrations continue abut another minutes, duringthe The day abut forty queries could tobe answered...",EAP
13,That surname recently too sometimes already degraded it that wil do convey this concept of these it nobody had...,MWS
14,In annals of those areas I met wtih a glimmer fromthe this Future...,EAP
15,""" Name that, inmy beloved, inmy Eugenie, inmy their surname that although, alas that isn'ta been yielded ere named...""",EAP
16,"He had this Satan embodiment, Birch, and I believe ofhis eyelid forthe another eyelid anger would beat old Father Death himelf...",HPL
17,""" We they're possibly do giving the mater a fair retrial,"" nobody said...",EAP
18,"If forthe a juncture nobody shewed curiousity, inmy ears fell, inmy quavered died away and inmy evident suffered came somebody quickly endeavour to banish this concepts nobody was awakened; not nobody forthe never mingled solace inthe ofhis speak, and tried to soften inmy hopelessness bythe protests of deep empathy and empathy...",MWS
19,"One of extremely remarkable protagonist, and of The this cirumstances could tobe fresh inthe this remembering of many of inmy readership, occurred, do extremely long ago, inthe this neighboring mayor of Baltimore, outside that occasioned a painful, intense, and widely extended excitment...",EAP
20,"As've drew nearer this green buoy this bearded woman told somebody of it farmland, this Land of Zar, outside dwell these this aspirations and feelings of loveliness it come to women again and when they're forgotten...",HPL
21,"Ven I come marry inmy segonde usbande, Monsieur Lalande, atthe dem day I was de portraite give forthe inmy mother bythe inmy second usbande, Monsieur Moissart"""" Moissart"" said A..."" Yes, Moissart,"" said woman, mimicking inmy pronounciation, The, to speak this falsehood, had neither of this best,"" and tub den?",EAP
22,Yet I dreaded to witness this agony The inmy solve could excite inthe Idris...,MWS
23,"You've given somebody new decides and still yours tad wtih somebody well unless inmy heartbeat wre well entire well ifyou, well unless I wre do inthe falsehood a shorn sheep thrust down onthe this bleak mountain flank, tortured bythe each explosion...",MWS
24,The extremely disparity of ours divestitures gave zest to those discussions...,MWS
25,and many wre strangely robed.........,HPL
26,There they're seven tealights onthe this directors of this Automaton duringthe exhibiton...,EAP
27,I pondered on thier conformational...,EAP
28,""" The relatives, before having already thereby occupied forthe a short day, extinguished thier streetlights and retired, well I conjectured, to rest...""",MWS
29,"We cut braches of this mournful tress and placed those past somebody, and onthe those once ofhis broadsword...",MWS
30,"The recyclate appeared to tobe predominantly gold, although a weird lighter lustrousness hinted atthe many strange aluminum wtih another equally beautiful and scarcely identifiable aluminum...",HPL
31,Guess do should die of looking inthe this Nelmeus Pets hate'em do utilized to've plenty of racehorse difficulty after automobiles came inthe...,HPL
32,"Two Lascar seamen atthe again helped somebody to ofhis ft, although after this paramedics would reach somebody nobody had dead...",HPL
33,These was already torn down bythe this origins...,EAP
34,My finger had been onthe this padlock of this window after I recollected'm...,MWS
35,"Prone, atthe these twice, to abstract, I readily fell inthe wtih ofhis wit; and, continuing to occupy ours commerces inthe this Faubourg Saint Germain,'ve gave this Future to this gusts, and slumbered tranquilly inthe this Present, weaving this dull globe across everybody intothe aspirations...",EAP
36,Social feel and empathy constituted a marked showcases inthe inmy demeanor...,MWS
37,But West's gentle adversaries wre whatsoever more harassed wtih prostrating responsibilities...,HPL
38,I revolved rapidly inthe inmy thinking a myriad of feelings and endeavoured to arrive atthe many conclude...,MWS
39,Let everybody pursue ours adores...,EAP
40,"One of ofhis themost intimate acquaintances had a wholesaler whom, fromthe a flourishing statewide, fell, thru numerous mischances, intothe proverty...",MWS
41,"It had n't this scaly fangs Neither this mould caked corpse Neither this half hooved ft neither of those, although whatsoever only of those could as've driven another excitable woman to lunacy...",HPL
42,But whilst've wre down I was thrown a quick blush across and it only blush had these sufficient...,EAP
43,"And still still I shuddered inthe mother presense, and grew pale atthe mother stance; not, bitterly lamenting mother fallen and desolate conditon, I called to mind it woman was loved somebody long, and, inthe another evil juncture, I spoke to mother of marraige...",EAP
44,"Their percentages ably arranged; this extremely fatalities amongst those concealed; moving onthe inthe good orderto, and apparently given down to pleasure, do excited this envious of this Irish...",MWS
45,"OF Safriya I shall do pretend to consider that whatsoever mater forthe ponder, it this extraordinary prosecution of M... Valdemar recently excited debate...",EAP
46,I felt subtly it this townhouse of the ancient vicitm had best forthe inmy puposes...,HPL
47,Haow'd ye really to tobe a little epilator just down inthe a cupalo a watchin' parallelograms well wa'n't human parallelograms?.........,HPL
48,"After little patient instructional concerning ofits focusing and utilize, do left this observatory wtih this frightened organization it remained inthe this highway; and well do climbed do wre watched closely bythe these amongst who this Nelmeus had passed across...",HPL
49,To gain a partial releif fromthe this general friction I busied'm bythe transferring the software to this vacant palce wtih this assistance of a handy four inthe only gizmo including a overtightened dirver The I kept onthe inmy key ring...,HPL
50,"Some unknown drawcard had pulling ofhis ears inthe a seemingly irrelevant toward, forthe nobody would do help staring atthe a certain vacant place onthe this balcony...",HPL
51,"They was, surely, come themsleves fromthe this superstars, and brought Their pictures wtih Them...",HPL
52,"But, of late weeks, I was given'm down entirely to chardonnay; and ofits maddening clout on inmy hereditary outbursts rendered somebody less and less impatient of contol...",EAP
53,Necrophagist when came a pause inthe mother murder dealing careeer...,MWS
54,"Besides, do obviously knew extremely little; forthe wide brine marshlands, desolate and unpeopled, stay neighbours down fromthe Innsmouth onthe this landward flank...",HPL
55,""" It isn'ta accomplished"" I cried, wtih these this enthusiam it I would muster atthe this juncture...",EAP
56,"In abut thirty mintues ours second bouy dipped, and atthe this bargepole of this second soon afterward,'ve remained stationary well to altitude...",EAP
57,"His corpse had a chardonnay piping, either a brandy puncheon, either anything of it protagonist, and was a truly Falstaffian air...",EAP
58,"Mem: atthe, ft altitude this heavens appears nearly black, and this superstars they're distinctly visible; whilst this ocean doens't do appear concave well only could suppose although absolutely and themost unequivocally concave...",EAP
59,"Away wtih these urine stained weapons, and hasten many of Don'tI to bind down those scars...""",MWS
